"Deadlock Trap",1.5,"I feel like IÅfm saying this about a lot of the energy cards, but this doesnÅft do enough on its own. There is a real reward for combining enough cards that make and use energy, so that deck is clearly going to exist, but cards like Deadlock Trap are just anemic without support. If you have reliable sources of energy, this locks down a creature a turn, which is great. If you donÅft, it gets two shots, and thatÅfs not worth a card.Also, for those asking, this is not one of the 10 biggest traps in Limited. It only costs 3!"
"Decoction Module",1.0/2.0,"IÅfm underwhelmed by Decoction Module. First of all, itÅfs clearly an energy build-around that goes very deep. You can generate a lot from it, but need plenty of creatures and ways to spend energy before this pays you back for the card you invested. That is a possibility, but makes?this closer to a late pick when you are drafting energy than an early pick to build around. The second ability is useful in the late game as well, though still not enough to warrant playing this without plenty of synergies."
"Demolition Stomper",1.0,"This is exactly the kind of Vehicle that I predict will crash and burn. It just takes too many resources to get this going, and the payoff isnÅft there. In some matchups it might work, but itÅfs way more of a sideboard card against board stalls. I just fear getting stomped by removal, or drawing this and not drawing 5?power worth of creatures."
"Dukhara Peafowl",1.0/2.5,"If you arenÅft playing blue, this is mediocre filler. If you are, this is a solid addition to the menagerie. "
"Dynavolt Tower",1.0/3.5,"IÅfm not going to say that IÅfm completely unbiased here, but a spells-matter build-around is right up my alley. If you can combine this with a lot of energy-granting spells and some energy creatures, it can toast your opponent very quickly. This looks like enough of a payoff to take early, as it both produces energy and gives you a good outlet for it. ItÅfs also clearly unplayable in most decks, hence the double rating."
"Eager Construct",1.5,"If you need a 2/2 for 2, I wonÅft hound you for playing this. The ability is neutral to slightly negative (they technically get to make use of the scry first, because they draw their card before you do). This is also an artifact, making some decks slightly more interested than they other would be."
"Electrostatic Pummeler",1.5,"By itself, this is more of a punching bag than the reverse. A 1/1 that can make itself a 2/2 once is shockingly mediocre, so this really needs the right deck. In the heavy-energy deck, I still donÅft see the ability being activated all that easily, so IÅfm a little more interested in playing this as an energy creator (at which point itÅfs still medium). This does play nicely with pump spells, but overall IÅfm going to say this is a decent addition to energy decks but not quite a build-around."
"Fabrication Module",1.0/3.5,"What kind of Fabrication Module doesnÅft make Servos? Sounds like false advertising to me. What this does do is provide you a good payoff for energy, while also fueling itself. It doesnÅft seem hard to get a +1/+1 counter from this each turn, possibly more, and it does that without requiring a ton of mana. Once you do get to the stage in the game where you can spend 4?on its activated ability, it gives you multiple resources, and all that together sounds like a card IÅfm willing to put some energy into."
"Filigree Familiar",3.0,"You just canÅft go wrong with this. ItÅfs an Exultant Cultist thatÅfs easier to cast and gains you 2?life, and Exultant Cultist was already a fine card. ItÅfs possible that the various artifact synergies and ways to get this back warrant giving it a higher grade, but IÅfll start at 3.0 and take it like it was a 3.5."
"FireforgerÅfs Puzzleknot",0.5,"1?damage for 2?mana is medium at best, even if you have the option of paying 2R for another damage on top of that. IÅfd fire this off out of the sideboard against a deck with a lot of x/1s, but I wouldnÅft look to start it."
"Fleetwheel Cruiser",3.5,"This does a lot of damage very quickly, as the name implies. ItÅfs got good stats, gets to attack once even if you donÅft have any creatures, and the crew cost is not prohibitively high. The combination of good rate and value even if you donÅft initially have a crew makes this one of the better Vehicles."
"Foundry Inspector",3.0,"IÅfve found cost reduction to be underrated in Limited (though appropriately rated in Constructed). If you reduce even one artifact in a relevant way, youÅfve gotten a solid deal, and playing 2-4 over the course of the game doesnÅft sound unrealistic. Foundry Inspector is a fine card to take early and has the potential to be one of the better cards in your deck."
"Ghirapur Orrery",0.0,"This could be great... orr not. ThereÅfs just no reliable way to break the symmetry here, and paying 4?mana for that is not a good game plan. Maybe if your deck is insanely low curve and your opponentÅfs is high curve, but most Limited decks just donÅft look like that."
"GlassblowerÅfs Puzzleknot",1.0,"If you are the blue deck that really cares about energy, you can pick these up, because they are wildly unplayable in every other deck. ThatÅfs not actually a bad place to be, since I like cards that only specific decks care about."
"InventorÅfs Goggles",2.0,"The cost-to-stats ratio here isnÅft mind-goggling, but itÅfs passable. I wouldnÅft worry too much about making an Artificer deck, and would just play this if I had a high creature count and a few slots to use on this type of card."
"Iron League Steed",3.0,"Both sides of this card are great, making this a real workhorse no matter what you decide. Most fabricate cards tend to land with a Servo, but because this gives haste to the +1/+1 counter, I suspect this will come out as a 3/3 more often."
"Key to the City",3.5,"This definitely would make a list of LSVÅfs Keys to Limited, as itÅfs a powerful engine in multiple ways. It gets damage through and lets you increase your card quality, all at relatively low cost. You do need a fair amount of creatures before this gets appealing, but the payoff is high enough that I would encourage you to take it and find those creatures."
"MetalspinnerÅfs Puzzleknot",1.0,"Once again, Puzzleknots arenÅft worth the total mana investment. Where this does have some merit is in a black deck that cares about artifacts, and if you are in that deck, I suspect it wonÅft be a puzzle to find these."
"Metalwork Colossus",3.0,"The greatest Pilot on Kaladesh is somehow Metalwork Colossus, as it plays so nicely with Vehicles. IÅfm not entirely sure how it fits into them, but they are the most common way to reduce the cost of this. If you can get that cost down to 7 or so, youÅfve got a fine deal on your hands, and sacrificing Servos and whatnot to bring this back does make it an enduring threat. Not every deck can play this, much like half the cards in the set, so treat this is a reasonable payoff for an artifact deck that needs a finisher."
"Multiform Wonder",4.0,"I would say that this card is wonderful, but thatÅfs just too easy. I only note that to show you how much restraint I have. The card is legit great, as it can attack as a 5/1 flying lifelink with the energy it provides, while efficiently using any other sources of energy to your benefit. Multiform Wonder is a card IÅfd always be happy to play, and gets much, much better if you can provide it a constant source of fuel."
"Narnam Cobra",1.5/3.0,"A 2-mana 2/1 is playable in some decks that need low drops, though thatÅfs not very exciting. A 2/1 that can gain deathtouch is a great card, as itÅfs good both early and late. IÅfd be happy with Cobra if I were green, and medium unhappy otherwise."
"Ovalchase Dragster",2.5,"At first I was pretty down on this card, given how fragile it is, but haste really helps. You can often set up a turn where you get to crack for 6, and then when the opponent leaves something back, you either wait until you can remove it or trade and get more damage through. Crew 1 makes the Vehicle drawback much less risky, and overall this is going to get more than 4?manaÅfs worth of value. It even blocks well, making it a fine card in slower decks (assuming they have enough creatures)."
"Panharmonicon",0.0(ExceptforthatonetimewhereitÅfsgreat),"This doubles up a lot of stuff in the set, but the number of those cards youÅfd need is so high that I doubt itÅfs realistic. If you get there, more power (and toughness) to you."
"Perpetual Timepiece",0.5,"ThereÅfs not a lot going on here besides spinning of wheels, though the joke is that you mill your deck and then shuffle in all the good cards. While that is technically possible, I donÅft see it happening often enough to comfortably advise that anyone play with this."
"Prakhata Pillar-Bug",1.5,"Much like the Mastodon, this is not really dependent on you having black mana. If you need a 3-mana 2/3, then IÅfm sorry for you, and you can play this."
"Prophetic Prism",2.5,"Mana-fixing at extremely low opportunity cost is always nice to have, and Prophetic Prism is a card IÅfd look to play in most decks. It becomes even better if you need artifacts for some reason, and is really only bad in a 2-color deck that already has a lot of low drops. This doesnÅft look like a 3-color format, but if you want to splash, this is one of the best ways."
"Renegade Freighter",3.0,"The stats on this train are the kind of payoff IÅfm looking for. It has a low crew cost and is one of the easier-to-add Vehicles, making it a card most aggro or midrange decks will be happy to play."
"Scrapheap Scrounger",2.5,"Its inability to block makes this way less annoying than it would be otherwise while also restricting it mainly to aggressive decks. IÅfm fine with both, and would value this closer to a 3.5 once I know IÅfm in a black aggressive deck."
"Self-Assembler",1.5(then2.5,then3.0,thenbackto2.0),"The rating on Self-Assembler is a little odd. The first one isnÅft worth much, and IÅfd look to pick it up later in the pack. Once you have one, the second and third are worth picking mid-pack, as a 4/4 that draws another 4/4 is a good deal. The fourth and fifth are likely unnecessary, so the rating once again dips downwards.?"
"Sky Skiff",3.0,"The cost is low (both in crew and mana), making this a spiffy card indeed. ItÅfs a fine little beater, and one IÅfd look to include in most decks."
"Skysovereign, Consul Flagship",5.0,"Welp. ThereÅfs a reason this is the flagship Vehicle of the set, as it provides a ton of power at a very reasonable cost. Even if you never crew it, itÅfs a 5-mana deal 3, which is passable, and if it ever takes flight you get to destroy your opponent. IÅfd slam Consul Flagship and make sure I had ample crew, then I would collect my profits."
"SmugglerÅfs Copter",4.0,"This may be my pick for best Constructed card in the set, but itÅfs no slouch in Limited. ItÅfs not as high-impact as some cards (see: Consul Flagship), though the low cost and ease of use go a long way. This just gets to attack so often and improve your card quality while doing so, all for just 2 mana and crew 1."
"Snare Thopter",3.0,"IÅfve never been unhappy about a 4-mana 3/2 flier, and giving it haste plus an easier casting cost sweetens the deal nicely."
"Torch Gauntlet",1.0,"The combo here is to equip a small creature and crew a Vehicle, but now we are talking about equipment + Vehicles, which is a lot of noncreature space. Between that risk and the fact that you can equip and still be forced to trade down, IÅfm not thrilled about Torch Gauntlet. It can do some work in a Servo-heavy deck, you just will normally be able to do better."
"Weldfast Monitor",1.5/2.0,"If you need a cheap artifact creature and donÅft mind playing a little fast and loose, this is a fine card to lean on. It improves a little bit with the addition of red mana, but not enough to move the needle in most cases."
"Whirlermaker",1.0,"I know, I just know, that IÅfm going to lose badly to this card. That still doesnÅft stop me from giving it a low grade, because it just seems way too slow to be realistic. There are decks where itÅfs a plausible finisher, and matchups where IÅfd love to side it in, but you canÅft just go about putting in cards that cost this much mana to use and succeed. 7 mana for a Thopter, 11 mana for twoÅ\thatÅfs not acceptable unless the game is going to go VERY long."
"WoodweaverÅfs Puzzleknot",1.0,"The same caveats that apply to the blue Puzzleknot are true hereÅ\energy decks may want this, nobody else will. IÅfm usually pretty excited about cycles like this, but the Puzzleknots are living up to their name, and itÅfs hard to make use of them effectively."
"Workshop Assistant",1.5,"In an artifact-heavy deck that has sacrifice effects and lots of ways to get this back, it can do some real work. Otherwise, itÅfs gonna sit on the sidelines. I also like that MishraÅfs Workshop casts thisÅ\good naming."
"Acrobatic Maneuver",2.0,"Without any combos, this card protects one of your creatures from a removal spell, untaps a surprise blocker, or lets you chump something gigantic and keep your creature. ThatÅfs pretty good for a 3-mana cantrip, and things really get interesting in decks with a bunch of creatures with enters-the-battlefield abilities. At that point, Acrobatic Maneuver becomes both flexible and powerful, and an easy inclusion."
"Aerial Responder",3.5,"I know IÅfm not the first to get there, but thereÅfs no way this doesnÅft end up being called Vampire Whitehawk. It wonÅft be as dominant as its namesake, and vigilance is surely worse than deathtouch, but itÅfs still going to be a great card. It can bash for a 4-point life swing, crew vehicles on defense, and is a lot of stats for low cost. "
"Aetherstorm Roc",5.0,"ThereÅfs a lot going on here, all great. First of all, the Roc is a 3/3 flier for 4, which is already good. Second, it generates a lot of energy, starting with the one you get when you play it, and there are plenty of other cards that care about that. Plus, all you have to do is play a creature before attacking on the next turn and you get to use the last ability, which is awesome. Tapping down their blockers and growing the Roc is a huge offensive threat, making this a brutal card to defend against. All of these abilities combined make the Roc one of the best first picks in the format."
"Angel of Invention",4.5,"Even if white didnÅft invent the bomb rare, it may have perfected it. Angel of Invention checks all the boxes I look for:You will usually want to play this as a 2/1, as it brings two 2/2 Servos along to the party and is more resilient to removal. Sometimes you will need the 4 points of lifelink and will opt for a 4/3, at which point you are still getting a great deal. No matter what you choose, you are going to be in very good shape, and I canÅft imagine passing this if I open it.Note on fabricate: With this card, as with most, making Servos will be the default use. ItÅfs just better against so many cardsÅ\think about the counters as an Aura, and the tokens as almost another card. That doesnÅft mean you will never want +1/+1 counters, but it will happen less often than the alternative."
"Authority of the Consuls",0.5,"The Consuls may have the authority, but they seem a little confused with how to wield it. Tapping down the opponentÅfs creatures is an ability you want in an aggressive deck, but gaining a life per creature is more on the controlling side. I suppose this does let you win a race, but being down a card on Authority of the Consuls is a pretty big cost. Even if you are absurdly aggressive, drawing this at the wrong time makes it completely useless. IÅfm going to pass on this one."
"Aviary Mechanic",3.0,"This does a couple neat things. ItÅfs a 2/2 for 2, which some decks are definitely on board for, and it can pick up any of your ETB creatures or permanents (like the Puzzleknot cycle). The ability is strictly upside, and even if you donÅft have any synergies, this can rescue a creature from a negative Aura or untap a creature after you attack with it. Low cost and decent upside make this an easy include."
"Built to Last",2.5,"1 mana for +2/+2 is becoming a standard, and itÅfs a fine place to land. You donÅft need to have artifact creatures to make this good, just a desire for pump spells, even if the second part is a nice bonus. IÅfd play this in aggro decks, try and take it about the middle of the pack, and I'd be fine cutting it if I donÅft have a ton of creatures."
"Captured by the Consulate",3.5,"Captured by the Consulate is an interesting twist on Pacifism. It is a rare, so itÅfs not coming up all the often, but thatÅfs because of the complexity. What this does is turn one of their creatures into a defender, while also blanking all of your opponentÅfs pump spells and removal spells. ThatÅfs a hugely powerful effect, and well worth the disadvantage of not being able to attack past the enchanted creature."
"Cataclysmic Gearhulk",4.0,"These Gearhulks are amazing. This isnÅft quite Tragic Arrogance, because each player makes their own decisions, but forcing the opponent to sac down to their best creature + artifact while keeping your own (one of which is likely a 4/5) is a very powerful effect. It doesnÅft solve your problems if the opponent has one gigantic creature, but on most boards this will give you a sizable advantage at a?reasonable cost. If you know this is coming, trying to kill off your opponentÅfs artifact creatures and leave them with all nonartifacts (or vice-versa) is a good plan."
"Consulate Surveillance",1.5,"By itself, Consulate Surveillance prevents all damage to you from a source twice, which is definitely not what IÅfm looking for when I spend 4 mana. Where this gets a little more interesting is if you are using its energy to power other cards or using energy from other cards to power this. The output of preventing damage to you isnÅft strong enough that IÅfm too excited about making this a build-around, so whether you want this will mostly hinge on how you can use the 4 energy it provides."
"ConsulÅfs Shieldguard",3.0,"The flavor judge approves of the Shieldguard not protecting itself, though as a 3/4 itÅfs going to do a solid job of surviving combat regardless. This plays nicely with other energy cards (both in creating and spending energy) and is big enough that IÅfd play it even if I werenÅft aggressive."
"Eddytrail Hawk",2.0,"The Hawk, on the other hand, is way more aggressive in nature. It does a good job of getting damage through, poking in for 1 a turn and giving a lift to your biggest creature twice, while also having natural energy synergies. The power level on this is high enough that aggro decks will always play and be happy with it, but itÅfs focused enough on attacking that control decks wonÅft be interested."
"Fairgrounds Warden",3.5,"As with every time weÅfve seen this effect, itÅfs a solid addition to any Limited deck. You get rid of their best creature for as long as you can keep a 1/3 around, which offers the opportunity for a 2-for-1. This also plays nicely with the multiple flicker and bounce effects in the set, letting you choose a new creature to nab. "
"Fragmentize",2.5,"The way this format is looking, IÅfm inclined to maindeck Fragmentize. It seems like most decks will have a couple targets at least, and a 1-mana removal spell doesnÅft have to be that flexible to still be worth including. ItÅfs definitely great in Sealed, and a good way to shore up a removal-light deck in Draft (though be ready to side it out if you donÅft see good targets to hit)."
"Fumigate",4.0,"While I donÅft think wraths stink in Limited, IÅfm historically a little lower on them than most people. This one is good enough that IÅfm optimistic, as itÅfs cheap enough and gives you a life buffer that lets you slowroll it at least one extra turn. ItÅfs a great combo with Vehicles, though, in that vein, itÅfs bad against them, making it highly variable depending on the composition of your opponentÅfs deck. Still, this is a solid early pick, and seems like gas even in an aggressive deck."
"Gearshift Ace",3.0,"Given that IÅfd always play a 2/1 first strike for 2, it doesnÅft take much to sell me on Gearshift Ace. You do have incentive to pick up Vehicles once you have this, but donÅft feel like itÅfs in any way necessary. I also think it should be mandatory to sleeve your deck if you draft one of these."
"Glint-Sleeve Artisan",3.0,"I will never cut this from a Limited deck, and will actively seek out as many as possible. A 2/2 plus a 1/1 is a great deal for 3 mana, and gives you more artifacts to play with (or crew Vehicles). Worst comes to worst, making a 3/3 in the face of opposing 2/2s and 2/3s is good, and thereÅfs no way to lose out when you add this to your deck."
"Herald of the Fair",1.5,"This is fair at best, and not the kind of card IÅfm going to prioritize drafting. The ETB ability will sometimes let you force a couple extra points of damage through, but isnÅft so powerful that this is anything but a filler card with filler stats."
"Impeccable Timing",3.0,"There arenÅft that many phases where you can even play this, so your timing will at most be decent. This will trade for what you want it to often enough that itÅfs a good card in midrange and playable in aggro."
"Inspired Charge",1.0,"I wasnÅft inspired last time, and I donÅft think things have changed a ton. Some go-wide fabricate decks will want this, but nobody else will, so it shouldnÅft be hard to pick one up."
"Master Trinketeer",3.5,"You are getting a lot of bang for your buck with Master Trinketeer, though I wouldnÅft read too much into his activated ability. ItÅfs part of what makes the card powerful, but in my experience with similar cards, you donÅft actually get a chance to repeatedly spam the ability all that often. Where he truly becomes masterful is in a fabricate-heavy deck, at which point he can be 5?or 6 power without spending any additional mana. "
"Ninth Bridge Patrol",2.0,"ItÅfs somewhat ironic that this Patrol is perfect at keeping unruly mobs under control, given how similar the two cards are. Ninth Bridge Patrol is going to be good in tokens-based strategies?and has the additional bonus of counting when your creatures get bounced or flickered (which white does with a few different cards). You donÅft need a lot to want to play this, as one or two counters later you have a great card. "
"Pressure Point",2.5,"Cheap utility cards like this are easy to include even if they donÅft have a ton of impact. IÅfd rarely cut Pressure Point, but I also wouldnÅft prioritize taking it unless I was drafting a very aggressive deck."
"Propellor Pioneer",3.0,"A 3/2 flier for 4 is solid, and a 2/1 flier plus a 1/1 is even better, propelling this into the upper echelon of picks. That this has flying makes the fabricate choice a little closer, as you get to put the 1/1 worth of stats into the air if you choose to get a counter. Either way, you are getting a good deal."
"Refurbish",1.0,"Much like Zombify-type cards, IÅfm not a huge fan of Refurbish. When it works, you paid 4 mana for an artifact that probably cost about 4. When it doesnÅft, itÅfs a dead card. The risk of being dead plus the low reward makes me unexcited."
"Revoke Privileges",3.5,"This effect is always great, and IÅfm happy to pay 3 mana for it. The twist in this set is that it prevents the creature from driving any kind of Vehicle, which is a relevant bonus."
"Servo Exhibition",2.0,"ItÅfs interesting that this is an uncommon, which may serve as a clue as to what the developers think of the power level. On the surface, itÅfs not exceptional, providing 2/2 worth of stats for 2 mana. Where it gets alarming is when you put it in a go-wide deck thatÅfs capable of raising the stats of these Servos, and thatÅfs typically going to be GW."
"Skyswirl Harrier",3.0,"Simple, clean, and well-costed. ThereÅfs a little swirl of french in this vanilla, and the cost and stats are good enough that IÅfll always look to pick one of these up."
"SkywhalerÅfs Shot",3.5,"Once you start talking about 3 power instead of 4, this stops being situational removal and starts just being removal. IÅfd take be happy to take a Shot first pick."
"Tasseled Dromedary",1.0,"If you could crew vehicles with this, I might be a little more into it, but it makes sense that you canÅftÅ\can you imagine a camel piloting a racecar?This looks like pure sideboard material to me, and not particularly exciting even there. Having zero power is just such a big hump to get over, and there will be too many games where this doesnÅft have nearly the impact you need from your cards."
"Thriving Ibex",3.0,"Similar to fabricate, this cycle gives you a solid deal no matter how you use the energy. A 4-mana 3/5 (once it gets to attack) is great, and having two energy to use on other cards is also perfectly acceptable. This can even consume energy from other sources if it comes to that, and overall I will be happy to play as many of these as I can get."
"Toolcraft Exemplar",1.5,"If you donÅft have an artifact, this is barely a card. Once you make it a 3/2, you get a solid attacker, and if you can get it to first strike, it becomes a beast. ItÅfs hard to end up playing this, as you need to be aggressive and artifact-heavy, though once you meet those conditions you do end up with a pretty solid threat."
"Trusty Companion",2.0,"A 3/2 vigilance for 2 isnÅft such a great deal that IÅfm excited about it, though itÅfs certainly fine. Note that this can block still, making it reasonable even in a defensive deck."
"Visionary Augmenter",3.5,"Getting a 2/1 and two 1/1s is fantastic, and will be the main mode of this card. You will occasionally play it as a 4/3, and having that flexibility makes an already good card even better."
"Wispweaver Angel",3.5,"In a deck without good combos, this is a slightly overcosted 4/4 flier, which is still a fine playable. Add even a few enters-the-battlefield triggers to the mix and it becomes very appealing, which is what the grade is based on. It shouldnÅft be hard to make this one of your better cards, as the cards that it combos with are good and easy to find."
"Aether Meltdown",3.0,"Power-shrinking seems to be where blue gets a lot of its removal these days, and Aether Meltdown is a solid example. It will do a good job trading for a medium or small creature, and the 2 energy you get are not hard to find a use for."
"Aether Theorist",3.0,"This sounds great to me in theory, and I suspect it will hold up in practice. ItÅfs a 1/3 that comes with three scrys attached, and you can even spend its energy in other places (or spend other energy scrying). ThatÅfs awesome, and this is going to be one of the better blue commons. I could see bumping it up to a 3.5, depending on how often blue decks end up caring about energy."
"Aether Tradewinds",2.0,"This wasnÅft spectacular last time we saw it, but thereÅfs a lot going on in Kaladesh that makes me interested in doing some trading. First of all, bouncing your own cards with ETB abilities is going to be easier, given how many there are. Second, bouncing crewed Vehicles or potential crew can wreak havoc on attacking and blocking plans, making midcombat bounce more valuable than it would be otherwise. I wouldnÅft look to play this without combos, but it shouldnÅft be too hard to find some."
"Aethersquall Ancient",3.5,"In some games, this will be a 7-mana 6/6 flier that eats a removal spell. In others, it will completely dominate the game. It plays very nicely with other energy cards, and if you can get to 8 energy before playing this then you have an absurd bomb on your hands. ItÅfs still a little too vulnerable to get a true bomb rating, but itÅfs close."
"Ceremonious Rejection",1.5,"I wouldnÅft reject this out of hand, but itÅfs not a card IÅfm likely to start in Draft. I will in Sealed, as the odds that your opponent has a couple good artifacts go way up, but it is too likely to be dead in Draft. It leads to a significant mana advantage when it works, but thatÅfs not worth the risk of it doing nothing."
"Confiscation Coup",5.0,"Well then, it looks like Mind Control is back. By itself, this steals any creature or artifact with cost 4 or less, which is absurd. IÅfd windmill slam this even if I knew it was going to be the only energy card IÅfd draft, because that effect is just too good. You are up a card and mana (paying 5 to steal a 4-drop is still highly mana efficient, because whatever card the 4 trades for is going to cost more than 1).Once you start adding other energy cards to the mix, this gets even more absurd, not that it needs it."
"Curio Vendor",1.5,"In a land of Servos and Thopters, 2/1s for 2 look even worse than usual (and IÅfve never been the biggest fan). IÅfd mostly avoid, with the caveat that sometimes you need to do something before turn 4."
"Disappearing Act",1.5,"The value of this is mostly predicated on how much you want a 3-mana counterspell. My assumption is that you arenÅft going to want it every time, even with an interesting rider. The additional cost can be both drawback or advantage, though IÅfd lean toward it being an advantage in most decks and at most stages of the game. This isnÅft that hard a thread to followÅ\do you want a 3-mana counter, and do you have synergies with bounce? If the answer to both is yes, play this card."
"Dramatic Reversal",0.0,"In a dramatic twist, a card that doesnÅft add any stats, replace itself, or do anything but untap your permanents is not a good card. Do not play this."
"Era of Innovation",1.0/3.0,"There are so many build-arounds in this set, leading to a lot of 1.0/X ratings. We truly are in the best possible era, as build-arounds are what I live for in Draft. This one looks solid to me, providing you with a steady stream of energy and a way to sink it, which artifact/artificer heavy decks will be glad to make use of. This is also unplayable in tons of decks, but good enough that I wouldnÅft hate to move in early on it."
"Experimental Aviator",,"I prefer experimental aviators, myself.Second-rate Aviators aside, this is a solid card. It provides 2/5 worth of flying stats, which is good for 5 mana, and the 0/3 combos perfectly with the various bounce and flicker effects. It also ups your artifact count, and is hard to combat with a removal spell."
"Failed Inspection",1.0,"Would you loot? What if you had to pay 4 mana for the privilege, even with a counterspell attached? In general, IÅfm going to say no, as leaving 4?mana up is just too punishing if they donÅft play into it. This is a good sideboard card, and seems solid in Sealed."
"Gearseeker Serpent",3.0,"I like the look of this. I have an affinity for solid finishers, and this is a great way for a blue deck to close out a game. You will often cast this for 5?mana, at which point itÅfs a great deal, and you have outs to pay even less. The unblockable ability is a nice bonus too, and will be relevant more than you might think."
"Glimmer of Genius",3.0,"IÅfm in for everything about this card. Scry 2 + draw 2 is very close to a draw 3/4, depending on the stage of the game (once lands become worth 0, this is much closer to draw 4). Getting 2?energy makes this a great deal, and it being an instant is just icing on the already-delicious cake."
"Glint-Nest Crane",3.0,"With only six artifacts in your deck, you are still 50/50 to see one or more with this. ThatÅfs a very good deal, and it shouldnÅft be hard to end up with more than six artifacts. IÅfm a fan of this, and will be drafting it aggressively."
